Manufacturer,Model,Engine_Type,HP_or_lbs_thr_ea_engine,Max_speed_Knots,Rcmnd_cruise_Knots,Stall_Knots_dirty,Fuel_gal_lbs,All_eng_service_ceiling,All_eng_rate_of_climb,Takeoff_over_50ft,Takeoff_ground_run,Landing_over_50ft,Landing_ground_roll,Gross_weight_lbs,Empty_weight_lbs,Length_ft_in,Height_ft_in,Wing_span_ft_in,Range_NM,
"Air Tractor, Inc.",AT-400,Propjet,680,200,185,55,126,,"1,500",,"1,000",,,"7,800","3,550",,,45/1,,
"Air Tractor, Inc.",AT-302A,Piston,600,190,182,55,126,,"2,500",,"1,300",,,"7,300","3,350",,,45/1,,
"Air Tractor, Inc.",AT-302,Piston,600,190,182,55,76,,"2,500",,"1,000",,,"7,000","3,250",,,45/1,,
"Air Tractor, Inc.",AT-301A,Piston,600,164,152,56,76,,"1,500",,"1,300",,,"7,300","3,850",,,45/1,,
"Air Tractor, Inc.",AT-301,Piston,600,168,155,56,76,,"1,600",,"1,300",,,"7,000","3,800",,,45/1,,
American Champion Aircraft Corporation,8KCAB-180 Super Decathlon (w/optional speed kit),Piston,180,158,150,52,40,"17,200","1,230",,,,,"1,800","1,315",22/11,7/7,32/0,,
American Champion Aircraft Corporation,8KCAB-150 F/P prop(w/optional speed kit),Piston,150,147,137,52,40,"16,000","1,000",,,,,"1,800","1,260",22/11,7/7,32/0,404,
American Champion Aircraft Corporation,8GCBC (max speed w/8047 fixed-pitch prop),Piston,180,135,122,50,35,,"1,080","1,090",510,"1,245",,"2,150","1,315",22/8,8/7,36/2,,
American Champion Aircraft Corporation,7KCAB,Piston,150,116,109,43,39,"17,000","1,120",535,375,755,400,"1,650","1,140",22/7,7/7,34/5,411,
American Champion Aircraft Corporation,7GCB,Piston,150,109,103,37,37,"18,100","1,140",617,366,718,320,"1,650","1,050",22/9,6/1,34/5,411,
American Champion Aircraft Corporation,7GCAA,Piston,150,113,109,43,39,"17,000","1,120",535,375,755,400,"1,650","1,140",22/8,,33/5,411,
American Champion Aircraft Corporation,7GCBC,Piston,150,113,111,39,35,"17,000","1,145",457,296,690,310,"1,650","1,150",22/8,,34/3,480,
American Champion Aircraft Corporation,7GCBC with EDO floats,Piston,150,97,90,46,39,"16,000",800,,,,,"1,800","1,290",22/7,6/8,34/6,248,
American Champion Aircraft Corporation,7ECA,Piston,115,109,107,44,35,"12,000",725,716,450,775,400,"1,650","1,067",22/8,,33/5,301,
American Champion Aircraft Corporation,7EC,Piston,90,117,97,38,26,"15,500",700,"1,240",840,700,400,"1,450",820,21/6,7/0,35/1,350,
American Champion Aircraft Corporation,7ACA,Piston,60,85,75,38,13,"8,500",400,850,525,,,"1,220",750,21/11,7/0,35/1,261,
American General Aircraft,"GA-7 Cougar (twin) '77 svc. ceils=18,300 &4,900",Piston,160,168,160,63,80,"17,400","1,160","1,805","1,000","1,330",710,"3,800","2,588",29/7,10/4,36/9,680,
American General Aircraft,AG5B Tiger (prior '79 height=8/0),Piston,180,148,139,53,51,"13,800",850,"1,550",865,"1,120",410,"2,400","1,360",22/0,7/7,31/6,530,
American General Aircraft,AA5A Cheetah (prior '79 height=8/0),Piston,150,136,127,52,37,"12,650",660,"1,600",880,"1,100",380,"2,200","1,323",22/0,8/0,31/6,428,
American General Aircraft,AA5 Traveler ('75=+ 7 mph speed),Piston,150,130,122,50,38,"12,650",660,"1,600",880,"1,100",380,"2,200","1,271",22/0,8/0,31/5,503,
American General Aircraft,AA-1B Trainer,Piston,108,120,108,52,24,"12,750",705,"1,590",890,"1,100",410,"1,560",975,19/2,7/6,24/5,348,
American General Aircraft,AA-1A Trainer,Piston,108,120,109,51,24,"13,750",765,"1,400",725,"1,065",395,"1,500","1,007",19/3,6/8,24/5,350,
American Legend Aircraft,Legend Cub AL11C-100,Piston,100,90,84,33,20,"15,000",700,,210,,205,"1,320",845,22/5,7/6,35/6,275,
"Aviat Aircraft, Inc",Husky A-1 (formerly Christen Industries),Piston,180,126,113,36,52,"20,000","1,500",,200,,350,"1,800","1,190",22/7,6/7,35/6,696,
Ayres Corp.,S-2D AG Commander,Piston,600,122,96,61,54,"15,000","1,000","1,200",850,800,500,"6,000","3,400",29/4,8/9,44/4,275,
Ayres Corp.,S-2R-R3S/PZL 600,Piston,600,122,108,57,100,"15,000",900,,775,,500,"6,000","3,700",29/4,9/2,44/4,275,
Ayres Corp.,S-2R-1340/P&W 600 Thrush ('69 length=28/4),Piston,600,122,108,57,100,"15,000",900,,775,,500,"6,000","3,700",29/4,9/2,44/4,275,
Ayres Corp.,S-2R-800 Thrush (prior '76 length =28/11),Piston,800,135,119,50,100,"25,000","1,350",,900,,500,"6,000","4,100",29/2,9/2,44/4,257,
Ayres Corp.,S-2R-T34-Turbo (400 gal hopper),Propjet,750,138,130,57,190,"25,000","1,740",,600,,500,"6,000","3,600",33/0,9/2,44/5,545,
Ayres Corp.,S-2R-1820/510,Piston,"1,200",138,135,57,190,"28,000","2,033",,550,,950,"6,000","4,990",31/6,9/7,44/5,563,
"B Bar D Aviation, Inc.",Allegro,Piston,80,157,138,46,17,,"1,000",820,490,721,340,"1,320",622,20/10,6/9,35/5,350,
Beechcraft (Hawker Beechcraft),Beechjet 400 (400A has increased weights),Jet,"2,900",461,,87,732,"41,000","3,960",,"3,950",,"2,830","15,780",,48/5,13/9,43/6,"1,900",
Beechcraft (Hawker Beechcraft),Premier IA,Jet,"2,300",.80 Mach,.78 Mach,,"3,670","41,000",,,"3,792",,"3,170","12,500","8,200",46/0,15/4,44/6,"1,360",
Beechcraft (Hawker Beechcraft),Starship 2000 (2000A=increased spds & weights),Propjet,"1,200",335,328,,560,"34,800","3,225","3,876",,"2,630","1,070","14,400","9,887",46/1,13/0,54/5,"1,722",
Beechcraft (Hawker Beechcraft),350 Super King Air,Propjet,"1,050",314,303,,539,"35,000","2,979",,,"2,508","1,272","15,000","9,051",46/8,14/4,57/11,"1,966",
Beechcraft (Hawker Beechcraft),300 Super King Air (300LW has decr. weights),Propjet,"1,050",316,300,,539,"35,000","2,844",,,,,"14,000","8,838",43/10,15/0,54/6,"1,761",
Beechcraft (Hawker Beechcraft),B200 Super King Air,Propjet,850,294,279,75,544,"35,000","2,450","3,345","1,942","2,845","1,760","12,500","7,538",43/9,15/0,54/6,"1,972",
Beechcraft (Hawker Beechcraft),"200 Super King Air (prior '79 serv. ceil=31,000)",Propjet,850,290,272,75,544,"32,880","2,450","3,345","1,942","2,845","1,760","12,500","7,538",43/9,15/0,54/6,"1,870",
Beechcraft (Hawker Beechcraft),"B100 King Air (prior '79 serv. ceiling=29,100)",Propjet,715,265,258,83,470,"24,850","1,963","2,951","1,898","2,679","1,290","11,800","7,082",39/11,15/5,45/11,"1,080",
Beechcraft (Hawker Beechcraft),A100 King Air,Propjet,680,248,235,75,470,"24,850","1,963","3,245","2,060","2,944","1,787","11,500","6,797",39/11,15/5,45/11,"1,000",
Beechcraft (Hawker Beechcraft),100 King Air,Propjet,680,248,239,73,374,"25,900","2,200","1,729","1,452","2,138","1,240","10,600","6,440",39/9,15/4,45/10,"1,005",
Beechcraft (Hawker Beechcraft),F90-1 King Air,Propjet,750,279,265,79,470,"30,450","2,455","2,808","2,012","2,275","1,194","10,950","6,647",39/10,15/1,45/11,"1,235",
Beechcraft (Hawker Beechcraft),F90 King Air,Propjet,750,267,261,77,470,"29,802","2,380","2,856","2,090","2,275","1,194","10,950","6,549",39/10,15/1,45/11,"1,235",
Beechcraft (Hawker Beechcraft),E 90 King Air,Propjet,550,250,245,77,474,"27,620","1,870","2,024","1,553","2,110","1,030","10,100","5,996",35/6,14/3,50/3,"1,290",
Beechcraft (Hawker Beechcraft),"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Propjet,550,247,240,75,384,"30,000","2,137","2,261","1,629","1,672",737,"10,100","5,765",35/6,14/3,50/3,"1,120",
Beechcraft (Hawker Beechcraft),"C 90,C90-1 (-1 has increased speed)",Propjet,550,223,217,76,384,"28,100","1,955","2,261","1,629","1,672",737,"9,650","5,765",35/6,14/3,50/3,"1,120",
Beechcraft (Hawker Beechcraft),C90 GT King Air,Propjet,550,270,208,,384,"30,000","1,953",,2392,,"2,355","10,100","6,950",35/6,14/3,50/3,"1,026",
Beechcraft (Hawker Beechcraft),B 90 King Air,Propjet,550,223,219,74,384,"27,200","2,000","2,180","1,750","2,010",980,"9,650","5,685",36/6,14/8,50/3,"1,185",
Beechcraft (Hawker Beechcraft),A 90 King Air,Propjet,550,223,216,77,384,"30,200","1,900","2,150","1,730","1,960","1,250","9,300","5,680",35/6,14/8,45/1,"1,160",
Beechcraft (Hawker Beechcraft),90 King Air,Propjet,500,243,235,75,384,"28,400","2,000","1,755","1,350","1,870","1,250","9,000","5,680",35/6,14/8,45/1,"1,270",
Beechcraft (Hawker Beechcraft),88 Queen Air pressurized,Piston,380,214,192,71,264,"26,800","1,275","1,800","1,372","2,311","1,340","8,800","6,035",35/6,14/3,50/3,902,
Beechcraft (Hawker Beechcraft),B 80 Queen Air 1973 thru 1978,Piston,380,216,196,70,200,"26,800","1,275","2,556","2,007","2,572","1,620","8,800","5,277",35/6,14/8,50/3,656,
Beechcraft (Hawker Beechcraft),B 80 Queen Air - specs thru 1972,Piston,380,216,195,71,214,"26,800","1,275","1,800","1,372","2,311","1,340","8,800","5,120",35/6,14/3,50/3,716,
Beechcraft (Hawker Beechcraft),A 80 Queen Air,Piston,380,219,200,70,214,"28,500","1,585","1,800","1,500","2,143","1,510","8,500","4,900",35/6,14/3,50/3,716,
Beechcraft (Hawker Beechcraft),80 Queen Air,Piston,380,208,191,67,230,"28,000","1,300","1,450","1,060","2,070","1,160","8,000","4,800",35/2,14/6,50/3,746,
Beechcraft (Hawker Beechcraft),70 Queen Air,Piston,340,208,186,70,214,"30,000","1,375","1,675","1,269","2,107","1,244","8,200","4,995",35/6,14/3,50/4,755,
Beechcraft (Hawker Beechcraft),A 65 Queen Air,Piston,340,208,186,70,214,"31,300","1,300","1,560","1,180","1,750","1,330","7,700","4,980",35/6,14/3,45/10,755,
Beechcraft (Hawker Beechcraft),65 Queen Air,Piston,340,200,186,70,180,"27,000","1,300","1,700","1,310","1,980","1,425","7,700","4,640",33/3,14/1,45/10,630,
Beechcraft (Hawker Beechcraft),B 60 Duke pressurized (prior '78 t/o run=2006),Piston,380,246,233,73,142,"30,000","1,601","2,626","2,075","3,065","1,318","6,775","4,425",33/10,12/4,39/3,"1,010",
Beechcraft (Hawker Beechcraft),A 60 Duke pressurized,Piston,380,249,240,76,142,"30,800","1,601","2,626","2,006","3,065","1,318","6,775","4,175",33/10,12/4,39/3,824,
Beechcraft (Hawker Beechcraft),60 Duke Pressurized,Piston,380,249,236,76,142,"31,300","1,615","1,660","1,253","2,340","1,590","6,725","4,100",33/10,12/4,39/3,824,
Beechcraft (Hawker Beechcraft),H 18 Super Twin Beech,Piston,450,204,191,76,198,"20,300","1,400","2,072","1,650","1,850","1,480","9,900","5,845",35/2,9/4,49/8,622,
Beechcraft (Hawker Beechcraft),G 18 Super Twin Beech,Piston,450,200,186,73,275,"21,400","1,410","1,980","1,585","1,850","1,480","9,700","5,910",35/1,9/6,49/6,880,
Beechcraft (Hawker Beechcraft),E 18 Super Twin Beech,Piston,450,203,187,71,206,"23,000","1,250","2,079","1,655","1,569","1,480","9,300","6,150",33/1,9/2,47/7,638,
Beechcraft (Hawker Beechcraft),D 18 S Twin Beech,Piston,450,200,183,67,206,"20,500","1,190","1,760","1,405","1,460","1,250","8,750","5,770",33/1,9/2,47/7,632,
Beechcraft (Hawker Beechcraft),"H,J 50 Twin Bonanza supercharged",Piston,340,204,180,72,180,"29,500","1,270","1,250",975,"1,840","1,280","7,300","4,480",31/5,11/5,45/9,787,
Beechcraft (Hawker Beechcraft),"E,F,G 50 Twin Bonanza supercharged",Piston,340,209,184,72,180,"29,500","1,320","1,250",975,"1,840","1,250","7,000","4,460",31/5,11/5,45/9,813,
Beechcraft (Hawker Beechcraft),"D50,A,B,C,E Twin Bonanza",Piston,295,186,178,62,134,"20,000","1,450","1,260","1,000","1,452","1,010","6,300","4,100",31/5,11/5,45/9,670,
Beechcraft (Hawker Beechcraft),C 50 Twin Bonanza,Piston,275,178,161,60,134,"20,000","1,450","1,260","1,000","1,375","1,000","6,000","3,956",31/5,11/5,45/2,726,
Beechcraft (Hawker Beechcraft),B 50 Twin Bonanza,Piston,260,177,159,60,134,"20,000","1,450","1,344","1,080","1,215",975,"6,000","3,940",31/5,11/5,45/2,733,
Beechcraft (Hawker Beechcraft),50 Twin Bonanza,Piston,260,177,158,56,134,"19,000","1,450","1,350","1,080","1,215",975,"5,500","3,800",31/5,11/5,45/2,722,
Beechcraft (Hawker Beechcraft),58 P Baron(325) pressurized (range based on 190 gal fuel),Piston,325,261,232,78,166,"25,000","1,475","2,643","1,555","2,427","1,378","6,200","4,026",29/11,9/2,37/10,"1,013",
Beechcraft (Hawker Beechcraft),58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Piston,310,256,214,79,166,"25,000","1,529","2,376","1,480","2,498","1,471","6,100","3,985",29/10,9/2,37/10,"1,130",
Beechcraft (Hawker Beechcraft),58 P Baron turbochg.- specs thru 1976,Piston,310,231,207,79,166,"25,000","1,424","2,761","1,654","2,498","1,471","6,100","3,985",29/10,9/2,37/10,"1,104",
Beechcraft (Hawker Beechcraft),58 TC Baron (325) turbochg-non-pressurized,Piston,325,261,232,78,166,"25,000","1,475","2,643","1,555","2,427","1,378","6,200","3,788",29/11,9/2,37/10,"1,013",
Beechcraft (Hawker Beechcraft),58 TC Baron (non-press/turbo) '78 length=9/2,Piston,310,250,214,79,166,"25,000","1,461","2,376","1,480","2,498","1,471","6,100","3,780",29/10,9/6,37/10,"1,130",
Beechcraft (Hawker Beechcraft),58 Baron (300 hp),Piston,300,208,195,74,136,"20,688","1,750","2,371","1,403","2,498","1,439","5,500","3,443",29/10,9/6,37/10,"1,109",
Beechcraft (Hawker Beechcraft),58 Baron ('76 & prior fuel=166 gal opt),Piston,285,208,195,74,136,"18,600","1,660","2,101","1,336","2,498","1,439","5,400","3,361",29/10,9/6,37/10,"1,109",
Beechcraft (Hawker Beechcraft),A56TC Turbo Baron,Piston,380,252,247,73,142,"32,200","2,020","1,420","1,005","2,080","1,285","5,990","3,700",29/0,9/3,37/10,737,
Beechcraft (Hawker Beechcraft),56 TC Turbo Baron ('67 & '68 fuel=178 gal opt),Piston,380,252,247,73,142,"32,200","2,020","1,420","1,005","2,080","1,285","5,990","3,650",28/3,9/7,37/10,737,
Beechcraft (Hawker Beechcraft),E 55 Baron ('70-'72 fuel=142 gal opt),Piston,285,208,195,73,100,"19,100","1,682",968,596,"1,414",868,"5,300","3,291",29/0,9/2,37/10,934,
Beechcraft (Hawker Beechcraft),"C55, D55 Baron",Piston,285,210,200,67,112,"20,900","1,670",968,596,"1,414",868,"5,300","3,075",28/3,9/7,37/10,550,
Beechcraft (Hawker Beechcraft),B 55 Baron (1978 & up),Piston,260,201,184,73,100,"19,300","1,693","2,154","1,400","2,148","1,467","5,100","3,236",28/0,9/7,37/10,739,
Beechcraft (Hawker Beechcraft),B55 (SN955 & up=5000 g/w; SN 502 thru 954 elig 5100 g/w),Piston,260,205,196,68,112,"19,700","1,670","1,225",910,"1,370",840,"5,100","3,075",27/0,9/7,37/10,763,
Beechcraft (Hawker Beechcraft),A 55 Baron,Piston,260,200,191,66,112,"19,500","1,700","1,700",910,"1,470",960,"4,880","2,960",26/5,9/6,37/8,745,
Beechcraft (Hawker Beechcraft),55 Baron,Piston,260,200,191,66,112,"19,200","1,630","1,700","1,255","1,470","1,250","4,880","2,960",25/7,9/6,37/8,745,
Beechcraft (Hawker Beechcraft),E 95 Travel Air (fuel inj.),Piston,180,183,174,61,80,"18,100","1,250","1,280","1,000","1,590",980,"4,200","2,650",25/1,9/6,37/1,661,
Beechcraft (Hawker Beechcraft),"B 95A, D 95A Travel Air (fuel inj.)",Piston,180,183,174,61,80,"18,100","1,250","2,100","1,740","1,850","1,015","4,200","2,635",25/3,9/6,37/1,661,
Beechcraft (Hawker Beechcraft),"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,180,183,170,61,80,"18,100","1,250","2,100","1,740","1,850","1,015","4,100","2,635",25/3,9/5,37/9,661,
Beechcraft (Hawker Beechcraft),76 Duchess,Piston,180,171,158,60,100,"19,650","1,248","2,119","1,017","1,881","1,000","3,900","2,460",29/0,9/6,38/0,843,
Beechcraft (Hawker Beechcraft),B 36 TC Bonanza,Piston,300,213,190,57,102,"25,000","1,049","2,364","1,156","1,692",976,"3,850","2,338",27/6,8/5,37/10,957,
Beechcraft (Hawker Beechcraft),A 36 TC Bonanza(prior '80=optl fuel 74 gal),Piston,300,214,190,57,74,"25,000","1,165","2,012","1,176","1,449",721,"3,650","2,278",27/6,8/5,33/6,800,
Beechcraft (Hawker Beechcraft),A 36 Bonanza (300 hp),Piston,300,184,169,59,74,"18,500","1,210","1,913",971,"1,473",913,"3,650","2,247",27/6,8/5,33/6,720,
Beechcraft (Hawker Beechcraft),A 36 Bonanza ('70 & '71 lgt=26/8) '80 + up fuel= 74 gal,Piston,285,179,168,52,74,"16,600","1,030 w/3bld","2,040","1,140","1,450",840,"3,600","2,195",27/6,8/5,33/6,697,
Beechcraft (Hawker Beechcraft),36 Bonanza,Piston,285,177,170,56,50,"16,000","1,015","1,525","1,112","1,240",683,"3,600","1,980",26/4,8/5,32/10,510,
Beechcraft (Hawker Beechcraft),V 35 A & B-TC Turbo Bonanza,Piston,285,217,200,55,50,"29,500","1,225","1,320",950,"1,177",647,"3,400","2,027",26/4,6/6,33/5,600,
Beechcraft (Hawker Beechcraft),V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,285,182,172,51,74,"17,858","1,167 w/3bld","1,769","1,002","1,324",763,"3,400",,26/5,7/7,33/6,717,
Beechcraft (Hawker Beechcraft),V 35 A Bonanza,Piston,285,183,177,55,44,"17,500","1,136","1,320",965,"1,177",647,"3,400","1,960",26/4,6/6,33/5,536,
Beechcraft (Hawker Beechcraft),V 35 TC Turbo Bonanza,Piston,285,209,195,55,50,"26,600","1,225","1,320",965,"1,177",647,"3,400","1,950",26/4,6/6,33/5,580,
Beechcraft (Hawker Beechcraft),V 35 Bonanza,Piston,285,183,177,55,50,"17,500","1,136","1,320",965,"1,177",647,"3,400","1,915",26/4,6/6,33/5,543,
Beechcraft (Hawker Beechcraft),S 35 Bonanza,Piston,285,184,178,54,50,"18,300","1,200","1,225",880,"1,150",625,"3,300","1,915",26/4,6/6,33/5,543,
Beechcraft (Hawker Beechcraft),"N,P 35 Bonanza",Piston,260,178,170,52,50,"19,200","1,150","1,260","1,050","1,100",650,"3,125","1,855",25/2,6/5,33/5,535,
Beechcraft (Hawker Beechcraft),"K,M 35 Bonanza",Piston,250,183,170,52,49,"20,000","1,170","1,185",950,"1,050",710,"2,950","1,832",25/1,6/5,33/5,495,
Beechcraft (Hawker Beechcraft),J 35 Bonanza,Piston,250,183,174,50,39,"21,300","1,250","1,175",925,"1,050",710,"2,900","1,820",25/1,6/6,32/9,492,
Beechcraft (Hawker Beechcraft),H 35 Bonanza,Piston,240,179,165,50,39,"19,800","1,225","1,260","1,050","1,050",710,"2,900","1,820",25/1,6/6,32/9,470,
Beechcraft (Hawker Beechcraft),"E,F,G 35 Bonanza (E=2,725 lb. gross, F=2,750 lb.)",Piston,225,169,160,48,39,"19,000","1,300","1,270","1,060","1,025",680,"2,775","1,722",25/1,6/6,32/9,550,
Beechcraft (Hawker Beechcraft),"C, D 35 Bonanza",Piston,205,165,152,48,39,"18,000","1,100","1,500","1,250",975,625,"2,700","1,650",25/1,6/6,32/9,510,
Beechcraft (Hawker Beechcraft),"A,B 35 Bonanza (A=185 hp)",Piston,196,160,148,49,39,"17,100",890,"1,515","1,275",950,625,"2,650","1,575",25/1,6/6,32/9,470,
Beechcraft (Hawker Beechcraft),35 Bonanza,Piston,185,160,150,48,39,"18,000",950,"1,440","1,200",925,580,"2,550","1,458",25/1,6/6,32/9,530,
Beechcraft (Hawker Beechcraft),G 33 Bonanza,Piston,260,177,168,49,50,"16,600","1,060","1,516","1,023","1,150",625,"3,300","1,935",25/5,8/3,32/9,513,
Beechcraft (Hawker Beechcraft),F & E 33-C Bonanza (conventional tail),Piston,285,181,174,53,50,"18,300","1,200","1,225",880,"1,150",625,"3,300","1,918",25/6,8/3,32/9,520,
Beechcraft (Hawker Beechcraft),F33A ('80 & up fuel std 74 gal),Piston,285,182,172,51,74,"17,858","1,167 w/3bld","1,769","1,002","1,324",763,"3,400","2,125",26/8,8/3,33/6,717,
Beechcraft (Hawker Beechcraft),E 33 A Bonanza (conventional tail),Piston,285,181,174,53,50,"18,300","1,200","1,225",880,"1,150",625,"3,300","1,915",25/6,8/3,32/10,520,
Beechcraft (Hawker Beechcraft),F & E Bonanza (conventional tail),Piston,225,170,161,52,50,"17,800",930,"1,288",982,"1,298",643,"3,050","1,862",25/6,8/3,32/10,520,
Beechcraft (Hawker Beechcraft),C 33 A Debonair,Piston,285,181,174,53,50,"18,300","1,200","1,225",880,"1,150",632,"3,300","1,775",25/6,8/3,32/10,520,
Beechcraft (Hawker Beechcraft),C 33 Debonair,Piston,225,170,161,52,50,"18,300",980,"1,288",982,"1,298",643,"3,050","1,854",25/6,8/3,32/10,568,
Beechcraft (Hawker Beechcraft),"A,B 33 Debonair",Piston,225,170,161,52,50,"18,400",960,"1,235",982,"1,282",643,"3,000","1,745",25/6,8/3,32/10,568,
Beechcraft (Hawker Beechcraft),33 Debonair,Piston,225,170,161,52,50,"19,800","1,010","1,235",940,"1,282",635,"2,900","1,730",25/5,8/3,32/8,550,
Beechcraft (Hawker Beechcraft),"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",Piston,200,145,137,60,57,"15,385",927,"1,561","1,063","1,462",816,"2,750","1,696",25/9,8/1,32/9,647,
Beechcraft (Hawker Beechcraft),B-24R Sierra 200,Piston,200,140,131,55,52,"14,342",891,"1,804","1,169","1,519",803,"2,750","1,711",25/8,8/3,32/9,591,
Beechcraft (Hawker Beechcraft),A-24R Sierra 200,Piston,200,148,141,57,58.8,"14,350",862,"1,630","1,100","1,380",760,"2,750","1,610",25/8,8/3,32/9,704,
