License Number,Entity Name,Telephone Number,SHL Endorsed,Wheelchair Accessible Vehicles,Building,Street,City,State,Postcode,Type of Base,Date,Time,Latitude,Longitude,Batch Date,Location
B02660,EXIT CAR SERVICE INC.,7184729800,Yes,93,25-03,36 AVENUE,LIC,NY,11106,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.758143,-73.93305,10/20/2017 06:00:30 PM,"(40.758143, -73.93305)"
B01277,D & J SVCE INC,7188288888,Yes,,1200,ZEREGA AVENUE,BRONX,NY,10462,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.833354,-73.843531,10/20/2017 06:00:30 PM,"(40.833354, -73.843531)"
B00919,HARLEM CARS INC.,2126638080,Yes,,210,ST NICHOLAS AVENUE,NEW YORK,NY,10027,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.807098,-73.952675,10/20/2017 06:00:30 PM,"(40.807098, -73.952675)"
B01601,YOURS CAR SERVICE INC,7186802900,Yes,2,7205,3 AVENUE,BROOKLYN,NY,11209,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.633303,-74.026743,10/20/2017 06:00:30 PM,"(40.633303, -74.026743)"
B01848,GRAND LIMO & CAR SERVICE INC.,7184334255,Yes,68,36-07,32 STREET,ASTORIA,NY,11106,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.755937,-73.92898,10/20/2017 06:00:30 PM,"(40.755937, -73.92898)"
B02089,MY STREET CAR & LIMO SVC INC.,7189695555,Yes,9,149-17A,UNION TURNPIKE,FLUSHING,NY,11367,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.718909,-73.81324,10/20/2017 06:00:30 PM,"(40.718909, -73.81324)"
B00955,GOLDEN-TOWN CAR & LIMOUSINE SERVICE INC.,7184297071,Yes,,32-60,81 STREET,EAST ELMHURST,NT,11370-2002,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.755791,-73.88638,10/20/2017 06:00:30 PM,"(40.755791, -73.88638)"
B00821,ATLANTIC CAR SVCE,7182771111,Yes,,3207,FULTON STREET,BROOKLYN,NY,11208,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.682549,-73.87676,10/20/2017 06:00:30 PM,"(40.682549, -73.87676)"
B01745,AZUAY CORPORATION,7187384994,Yes,,96-04,LIBERTY AVE,QUEENS,NY,11417,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.68254,-73.8359,10/20/2017 06:00:30 PM,"(40.68254, -73.8359)"
B01436,NEW PRONTO TRANSP INC,7184575777,Yes,4,41-09,49 STREET,L.I.C.,NY,11104,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.746164,-73.91524,10/20/2017 06:00:30 PM,"(40.746164, -73.91524)"
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,7182716666,Yes,3,93-04,CORONA AVENUE,ELMHURST,NY,11373,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.742387,-73.871082,10/20/2017 06:00:30 PM,"(40.742387, -73.871082)"
B01061,DAT RADIO DISP INC,7183288888,Yes,2,650,SOUNDVIEW AVENUE,BRONX,NY,10473,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.818455,-73.862707,10/20/2017 06:00:30 PM,"(40.818455, -73.862707)"
B00350,CHAMPION CAR & LIMO SVC. INC.,7187798080,Yes,1,107-04,37 AVENUE,CORONA,NY,11368,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.753702,-73.86129,10/20/2017 06:00:30 PM,"(40.753702, -73.86129)"
B02346,PIA CAR LIMO. INC.,7188590100,Yes,51,1131,CONEY ISLAND AVENUE,BROOKLYN,NY,11230,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.630098,-73.96582,10/20/2017 06:00:30 PM,"(40.630098, -73.96582)"
B01506,HOYT LIMO & SVC CORP,7182045861,Yes,,23-03,ASTORIA BLVD,ASTORIA,NY,11102,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.771813,-73.924094,10/20/2017 06:00:30 PM,"(40.771813, -73.924094)"
B01454,FREEDOM LIMO & CAR SERVICE,7184525400,Yes,,96,RALPH AVENUE,BROOKLYN,NY,11221,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.686713,-73.923689,10/20/2017 06:00:30 PM,"(40.686713, -73.923689)"
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,7183581808,Yes,19,130-30,31 AVENUE  SUITE 801,FLUSHING,NY,11354,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.76995,-73.83898,10/20/2017 06:00:30 PM,"(40.76995, -73.83898)"
B01124,COOPERATIVA CLBNA DE CON INC,7186990960,Yes,,109-20,CORONA AVENUE,CORONA,NY,11368,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.741837,-73.85361,10/20/2017 06:00:30 PM,"(40.741837, -73.85361)"
B00221,PROFESSIONAL CAR SERVICE INC,2129236565,Yes,1,376,AUDUBON AVENUE,NEW YORK,NY,10033,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.850482,-73.93131,10/20/2017 06:00:30 PM,"(40.850482, -73.93131)"
B02397,"CHICO EXPRESS,INC.",7182367777,Yes,,6318,14 AVENUE,BROOKLYN,NY,11219,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.625609,-73.99868,10/20/2017 06:00:30 PM,"(40.625609, -73.99868)"
B90139,"APPLE HOME CARE,LTD.",7183721717,Yes,3,100-02,FARRAGUT ROAD,BROOKLYN,NY,11236,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.651866,-73.895856,10/20/2017 06:00:30 PM,"(40.651866, -73.895856)"
B01339,R C AUDUBON SVC INC,2129238787,Yes,1,2129,AMSTERDAM AVENUE,NEW YORK,NY,10032,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.838228,-73.937654,10/20/2017 06:00:30 PM,"(40.838228, -73.937654)"
B01717,HIGH CLASS BRONX LIMO C/S CORP,7189331111,Yes,1,2269,HAMPDEN PLACE,BRONX,NY,10468,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.861378,-73.91125,10/20/2017 06:00:30 PM,"(40.861378, -73.91125)"
B01145,ULTRA RADIO DISP INC,7189928000,Yes,1,277,EAST  165 STREET,BRONX,NY,10456,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.82939,-73.91607,10/20/2017 06:00:30 PM,"(40.82939, -73.91607)"
B00937,RIVERSIDE RADIO DISPATCHER,2129231111,Yes,3,1642,ST NICHOLAS AVENUE,NEW YORK,NY,10040,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.856313,-73.928389,10/20/2017 06:00:30 PM,"(40.856313, -73.928389)"
B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",7185622222,Yes,,550,EAST  187 STREET,BRONX,NY,10458,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.856193,-73.889072,10/20/2017 06:00:30 PM,"(40.856193, -73.889072)"
B01777,PREMIUM RADIO DISP & MULTI SVC,2126942222,Yes,1,425,EDGECOMBE AVENUE,NEW YORK,NY,10032,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.82983,-73.94008,10/20/2017 06:00:30 PM,"(40.82983, -73.94008)"
B01594,ATHENIAN LIMO INC,7182747000,Yes,,22-06,CRESCENT STREET,ASTORIA,NY,11105,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.778662,-73.91488,10/20/2017 06:00:30 PM,"(40.778662, -73.91488)"
B01593,EVERGREEN TRANS. INC.,7185917000,Yes,2,77-33,164 STREET,FLUSHING,NY,11366,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.723592,-73.804641,10/20/2017 06:00:30 PM,"(40.723592, -73.804641)"
B02537,ALLTOWN LIMO CORP.,7185437777,Yes,1,244,WEST  231 STREET,BRONX,NY,10463,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.879679,-73.906345,10/20/2017 06:00:30 PM,"(40.879679, -73.906345)"
B90705,GAYNOR ENTERPRISES LLC.,7189220871,Yes,1,198,EAST   57 STREET,BROOKLYN,NY,11203,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.651113,-73.923804,10/20/2017 06:00:30 PM,"(40.651113, -73.923804)"
B02520,AMK LUXURY CAR & LIMO INC.,7187474777,Yes,58,833,EAST   43 STREET,BROOKLYN,NY,11210,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.634763,-73.935362,10/20/2017 06:00:30 PM,"(40.634763, -73.935362)"
B01536,FIRST CLASS C/L SVC CORP,2123041111,Yes,1,4980,BROADWAY,NEW YORK,NY,10034,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.868198,-73.91923,10/20/2017 06:00:30 PM,"(40.868198, -73.91923)"
B01355,NEW HARLEM C/S INC,2126639090,Yes,1,1940,ADAM CLAYTON POWELL BOULEVARD,NEW YORK,NY,10026,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.804257,-73.952299,10/20/2017 06:00:30 PM,"(40.804257, -73.952299)"
B01979,DREAMLAND CAR & LIMO.SVC INC.,7184445000,Yes,,9732,SEAVIEW AVENUE,BROOKLYN,NY,11236,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.634234,-73.888321,10/20/2017 06:00:30 PM,"(40.634234, -73.888321)"
B02898,SANO CAR LLC,9293284813,Yes,,5030,BROADWAY  SUITE 676,NEW YORK,NY,10034,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.86885,-73.91664,10/20/2017 06:00:30 PM,"(40.86885, -73.91664)"
B01300,KENNEDY RAD DISP INC,2122348000,Yes,,3696,BROADWAY,NEW YORK,NY,10031,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.831241,-73.94661,10/20/2017 06:00:30 PM,"(40.831241, -73.94661)"
B01614,R TRANSPORT INC,7188593400,Yes,15,1021,AVENUE H,BROOKLYN,NY,11230,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.629493,-73.96644,10/20/2017 06:00:30 PM,"(40.629493, -73.96644)"
B01487,NEW RELAMPAGO C/S CORP,7183842828,Yes,,355,UNION AVENUE,BROOKLYN,NY,11211,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.710955,-73.951135,10/20/2017 06:00:30 PM,"(40.710955, -73.951135)"
B02902,NY CAR & LIMO SERVICES INC.,7184762025,Yes,6,71-16,35 AVENUE,JACKSON HEIGHTS,NY,11372,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.750655,-73.894345,10/20/2017 06:00:30 PM,"(40.750655, -73.894345)"
B01467,NEW EXPERIENCE #1 INC,7187295756,Yes,,38-33B,29 STREET,LIC,NY,11101,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.753642,-73.93421,10/20/2017 06:00:30 PM,"(40.753642, -73.93421)"
B01651,U.P.S. RADIO DISPATCH CORP.,7183285555,Yes,,1313,PROSPECT AVENUE,BRONX,NY,10459,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.831538,-73.88181,10/20/2017 06:00:30 PM,"(40.831538, -73.88181)"
B01600,R & N CAR SERVICE INC.,7186582233,Yes,1,179-36,HILLSIDE AVENUE,JAMAICA,NY,11432,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.712662,-73.78303,10/20/2017 06:00:30 PM,"(40.712662, -73.78303)"
B02920,AMAZING CAR AND LIMO SERVICE INC,7189425959,Yes,,1659,BATH AVENUE,BROOKLYN,NY,11214,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.605623,-74.008705,10/20/2017 06:00:30 PM,"(40.605623, -74.008705)"
B02107,APOLLO RADIO DISPATCH INC.,7184284100,Yes,,801,FREEMAN STREET,BRONX,NY,10459,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.830356,-73.89832,10/20/2017 06:00:30 PM,"(40.830356, -73.89832)"
B90639,ACA TRANSPORTATION INC.,7187870410,Yes,2,2410,65 STREET,BROOKLYN,NY,11204,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.610789,-73.976696,10/20/2017 06:00:30 PM,"(40.610789, -73.976696)"
B02288,SAFARI TRANSPORTATION INC.,7188266030,Yes,2,1267,ATLANTIC AVENUE,BROOKLYN,NY,11216,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.671975,-74.01146,10/20/2017 06:00:30 PM,"(40.671975, -74.01146)"
B01306,"R N D TRANSPORTATION, INC.",7183836345,Yes,7,135,GREENPOINT AVENUE,BROOKLYN,NY,11222,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.730181,-73.954586,10/20/2017 06:00:30 PM,"(40.730181, -73.954586)"
B01315,"V.I.T. CAR SERVICE, INC.",7189048057,Yes,,1478,WHITE PLAINS ROAD,BRONX,NY,10462,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.837752,-73.86334,10/20/2017 06:00:30 PM,"(40.837752, -73.86334)"
B00419,KOOP DISPATCHING INC.,7187922222,Yes,3,3287B,WESTCHESTER AVENUE,BRONX,NY,10461,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.853011,-73.827527,10/20/2017 06:00:30 PM,"(40.853011, -73.827527)"
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",7182526363,Yes,6,1448,CONEY ISLAND AVENUE,BROOKLYN,NY,11230,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.622131,-73.96493,10/20/2017 06:00:30 PM,"(40.622131, -73.96493)"
B00882,U N C CAR & LIMO SERVICE,2124272727,Yes,,2319,1ST AVENUE,NEW YORK,NY,10035,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.797865,-73.93448,10/20/2017 06:00:30 PM,"(40.797865, -73.93448)"
B00457,PREMIUM BRONX CORP,7183288080,Yes,1,900,EAST TREMONT AVENUE,BRONX,NY,10460,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.841813,-73.884211,10/20/2017 06:00:30 PM,"(40.841813, -73.884211)"
B02183,BANGLA CAR & LIMO. SERVICE INC.,7182078085,Yes,10,10-02,38 AVENUE,LIC,NY,11101,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.75839,-73.942365,10/20/2017 06:00:30 PM,"(40.75839, -73.942365)"
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,7188212121,Yes,,586,SENECA AVENUE,RIDGEWOOD,NY,11385,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.773186,-73.03862,10/20/2017 06:00:30 PM,"(40.773186, -73.03862)"
B01338,3210 WEBSTER AV PRESTIGE C/S,7187987700,Yes,1,3108,WEBSTER AVENUE,BRONX,NY,10467,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.871011,-73.87645,10/20/2017 06:00:30 PM,"(40.871011, -73.87645)"
B00310,WATSON CAR SERVICE INC.,7189918484,Yes,2,1681,BRUCKNER BOULEVARD,BRONX,NY,10472,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.825135,-73.87033,10/20/2017 06:00:30 PM,"(40.825135, -73.87033)"
B02768,NEW ADAM EXPRESS CAR & LIMO CORP,3475675002,Yes,,565,4 AVENUE,BROOKLYN,NY,11215,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.665805,-73.99213,10/20/2017 06:00:30 PM,"(40.665805, -73.99213)"
B01738,SAETA CAR SERVICE INC.,7184248282,Yes,,80-01,31 AVENUE,EAST ELMHURST,NY,11370,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.759078,-73.88774,10/20/2017 06:00:30 PM,"(40.759078, -73.88774)"
B01285,UNION RADIO DISPATCH INC,7182992001,Yes,,69,FEATHERBED LANE,BRONX,NY,10452,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.846629,-73.91736,10/20/2017 06:00:30 PM,"(40.846629, -73.91736)"
B01239,BEST DEAL PVT C/S INC,7187985555,Yes,,757A,BURKE AVENUE,BRONX,NY,10467,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.871551,-73.86485,10/20/2017 06:00:30 PM,"(40.871551, -73.86485)"
B01128,PAK-EAGLE INC.,7185751212,Yes,,72-55,KISSENA BOULEVARD,FLUSHING,NY,11367,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.727695,-73.8129,10/20/2017 06:00:30 PM,"(40.727695, -73.8129)"
B90032,RICHMOND COUNTY AMBLNC SVC INC,7182733555,Yes,27,1355,CASTLETON AVENUE,STATEN ISLAND,NY,10310,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.634011,-74.128061,10/20/2017 06:00:30 PM,"(40.634011, -74.128061)"
B01537,S.I. SPEED INC.,7182276666,Yes,,16,GIFFORDS LANE,STATEN ISLAND,NY,10308,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.551208,-74.150337,10/20/2017 06:00:30 PM,"(40.551208, -74.150337)"
B01327,CONTINENTAL C/L SVCE,7184990909,Yes,,313,9 STREET,BROOKLYN,NY,11215,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.669261,-73.98592,10/20/2017 06:00:30 PM,"(40.669261, -73.98592)"
B90545,M.J. TRANS CORP.,7183330400,Yes,1,1788,STILLWELL AVENUE,BROOKLYN,NY,11223,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.602774,-73.986703,10/20/2017 06:00:30 PM,"(40.602774, -73.986703)"
B00053,CHARGE AND RIDE INC,7183925200,Yes,,47-01,VERNON BOULEVARD,L.I.C,NY,11101,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.745304,-73.95305,10/20/2017 06:00:30 PM,"(40.745304, -73.95305)"
B01313,JOY CAR SERVICES INC.,7184023333,Yes,2,2078,CROSS BRONX EXPRESSWAY,BRONX,NY,10472,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.831091,-73.85419,10/20/2017 06:00:30 PM,"(40.831091, -73.85419)"
B90568,AMG TRANSPORTATION INC.,5167921674,Yes,1,30A,COMMERCIAL STREET,FREEPORT,NY,11520,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.658652,-73.580098,10/20/2017 06:00:30 PM,"(40.658652, -73.580098)"
B02539,HAWK CAR AND LIMO SERVICE,7186503535,Yes,9,591,MIDLAND AVE  GROUND FL UNIT,STATEN ISLAND,NY,10306,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.62539,-73.9624,10/20/2017 06:00:30 PM,"(40.62539, -73.9624)"
B01768,NEW SUPERIOR RADIO GRP CORP,7186180093,Yes,3,1748,EAST TREMONT AVENUE,BRONX,NY,10460,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.808373,-73.929466,10/20/2017 06:00:30 PM,"(40.808373, -73.929466)"
B00860,SEAMAN RADIO DISPATCHERS INC,2123043612,Yes,1,4020,10 AVENUE,NEW YORK,NY,10034,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.869265,-73.91584,10/20/2017 06:00:30 PM,"(40.869265, -73.91584)"
B90042,LIFECARE AMBULETTE INC.,6462104014,Yes,9,1224,BRUNSWICK AVENUE,FAR ROCKAWAY,NY,11691,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.610014,-73.748686,10/20/2017 06:00:30 PM,"(40.610014, -73.748686)"
B01083,BROAD DYCKMAN C/S INC,2123048080,Yes,,200,DYCKMAN STREET,NEW YORK,NY,10040,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.864833,-73.92718,10/20/2017 06:00:30 PM,"(40.864833, -73.92718)"
B01243,EILAT TRANSPORTATION CORP,7185337777,Yes,4,461,KINGS HIGHWAY,BROOKLYN,NY,11223,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.604462,-73.97275,10/20/2017 06:00:30 PM,"(40.604462, -73.97275)"
B02414,CAIRO LIMO SERVICE INC.,7186514222,Yes,29,18-33,27 AVENUE,LIC,NY,11102,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.758356,-73.936101,10/20/2017 06:00:30 PM,"(40.758356, -73.936101)"
B01672,NEW DAYNIGHT CAR SVCE,2126944000,Yes,,501,WEST  145 STREET,NEW YORK,NY,10031,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.825536,-73.94782,10/20/2017 06:00:30 PM,"(40.825536, -73.94782)"
B02847,JOY LUXURY INC,7186846000,Yes,3,2078,CROSS BRONX EXPRESSWAY,BRONX,NY,10472,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.831091,-73.85419,10/20/2017 06:00:30 PM,"(40.831091, -73.85419)"
B01196,DIPLO RAD DISP INC,7183658580,Yes,1,2304,SEDGWICK AVENUE  TORE 1,BRONX,NY,10468,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.868789,-73.89777,10/20/2017 06:00:30 PM,"(40.868789, -73.89777)"
B00222,"REYNO CAR SVC, INC.",2129236800,Yes,,199,AUDUBON AVENUE,NEW YORK,NY,10033,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.844996,-73.9348,10/20/2017 06:00:30 PM,"(40.844996, -73.9348)"
B01231,GO CAR CORP.,7183877777,Yes,100,616,GRAND STREET,BROOKLYN,NY,11211,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.711065,-73.94753,10/20/2017 06:00:30 PM,"(40.711065, -73.94753)"
B02765,GRUN LLC,7189715628,Yes,,636,WEST   28 STREET,NEW YORK,NY,10001,BLACK CAR BASE,10/20/2017 12:00:00 AM,18:00:31,40.74844,-73.93946,10/20/2017 06:00:30 PM,"(40.74844, -73.93946)"
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,2122811111,Yes,4,2326,AMSTERDAM AVENUE,NEW YORK,NY,10033,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.844865,-73.93368,10/20/2017 06:00:30 PM,"(40.844865, -73.93368)"
B01340,UNICAR COMPANY INC,7189315555,Yes,,1684,GLEASON AVENUE,BRONX,NY,10472,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.82923,-73.871067,10/20/2017 06:00:30 PM,"(40.82923, -73.871067)"
B02805,HANDI CAR SERVICE CORP,9178434254,Yes,,42-11,35 STREET,LIC,NY,11101,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.746565,-73.92928,10/20/2017 06:00:30 PM,"(40.746565, -73.92928)"
B00248,YELLOWSTONE TRANSPORTATION INC.,7185397777,Yes,,41-31,MAIN STREET,FLUSHING,NY,11355,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.758114,-73.82962,10/20/2017 06:00:30 PM,"(40.758114, -73.82962)"
B90701,CATHAY EXPRESS TRANSPORTATION INC,2123373333,Yes,1,98-51,QUEENS BOULEVARD  2G,REGO PARK,NY,11374,PARATRANSIT BASE,10/20/2017 12:00:00 AM,18:00:31,40.728061,-73.856072,10/20/2017 06:00:30 PM,"(40.728061, -73.856072)"
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",6463416588,Yes,23,33-24,NORTHERN BOULEVARD  1ST FLR,LIC,NY,11101,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.751777,-73.930235,10/20/2017 06:00:30 PM,"(40.751777, -73.930235)"
B01678,"G.T.N.Y. CAR SERVICE, INC.",6468526641,Yes,5,177,SHERMAN AVENUE,NEW YORK,NY,10034,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.864581,-73.92253,10/20/2017 06:00:30 PM,"(40.864581, -73.92253)"
B01362,AMERICAN BASE NO.1 INC.,7186656664,Yes,1,522,EAST  149 STREET,BRONX,NY,10455,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.814476,-73.914387,10/20/2017 06:00:30 PM,"(40.814476, -73.914387)"
B01200,NEW YORK APPLE CAR SERVICE INC,7184552121,Yes,2,1126,BUSHWICK AVENUE,BROOKLYN,NY,11221,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.689376,-73.91839,10/20/2017 06:00:30 PM,"(40.689376, -73.91839)"
B02546,X RADIO DISPATCHER INC.,7188606665,Yes,,1161,SOUTHERN BOULEVARD,BRONX,NY,10459,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.828016,-73.892244,10/20/2017 06:00:30 PM,"(40.828016, -73.892244)"
B00653,ROYAL CAR & LIMO SERVICE INC.,7183233333,Yes,,104-09,109TH STREET,RICHMOND HILL,NY,11418,LIVERY BASE,10/20/2017 12:00:00 AM,18:00:31,40.683813,-73.832688,10/20/2017 06:00:30 PM,"(40.683813, -73.832688)"
